JOB-Title,Organinsation,Location,Ratings,Job-Description,Date-of-Posting,Salary
Research Scientist,ZeroPlast Labs Pvt Ltd,"Pune, Maharashtra",4.0,"Reading of research papers and patents related to biopolymer domain.
Candidate background: Organic chemistry or Polymer Science.",3 days ago,"₹12,00,000 a year"
Research Scientist Biology,PI Industries Ltd,"Udaipur, Rajasthan",NA,"Collaborate with team members and cross functional teams to ensure meeting research objectives.
Document and record findings in research reports / papers for…",3 days ago,NA
Research Scientist Chemistry,PI Industries Ltd,"Udaipur, Rajasthan",4.0,"Post-doctoral research experience in a reputed university is preferred.
Continuous documentation and reporting of all research results obtained within the area…",7 days ago,NA
Research Scientist - Entomology,PI Industries Ltd,"Udaipur, Rajasthan",4.0,"Collaborate with team members and cross functional teams to ensure meeting research objectives.
Adhere to all safety / information security / quality norms…",14 days ago,NA
Research Scientist - Formulation Development,PI Industries Ltd,"Udaipur, Rajasthan",4.1,Execution of trial batches in the lab.,14 days ago,NA
Junior Research Scientist,Piramal Enterprises,"Chennai, Tamil Nadu",4.2,"To execute the analysis in lab independently under the guidance of the supervisor, responsible to maintain lab records and work place.",7 days ago,NA
Research Scientist,Piramal Enterprises,"Ahmedabad, Gujarat",3.5,"To perform calibration of the analytical instruments as per calibration schedule under supervision of Manager.
Following in-house compliance system.",2 days ago,NA
Research Scientist Process Research,PI Industries Ltd,"Udaipur, Rajasthan",3.9,Continuous documentation and reporting of all research results obtained within the area of responsibility as defined in the SOP / guideline.,14 days ago,NA
JUNIOR & MIDDLE LEVEL RESEARCH SCIENTISTS,SHRIRAM INSTITUTE FOR INDUSTRIAL RESEARCH,"Delhi, Delhi",5.0,"To enhance the research activities and take the vision to newer heights, the Institute is looking forward to recruit high calibre, passionate, motivated, Young…",2 days ago,NA
In-Vitro Biology – Research Scientist/ Sr. Research Scientis...,Jubilant Biosys,"Bengaluru, Karnataka",3.5,"Years of experience 2-5 years.
Job Scope Work in the area of Invitro Biology in designing.
And execution of in vitro assays in Immunology/.",30+ days ago,NA
Associate Scientist - Trai,Pfizer,"Chennai, Tamil Nadu",3.7,"Job Family Group: Research and Development.
Job Family: 093- Chemistry-Analytical.
Determine chemical and physical properties during drug product development…",1 day ago,NA
SENIOR RESEARCH SCIENTISTS,SHRIRAM INSTITUTE FOR INDUSTRIAL RESEARCH,"Delhi, Delhi",4.1,"[Even superannuated scientists can be taken on contractual basis to provide leadership in above areas.].
Experience: 12-20 years preferred.",2 days ago,NA
Research Scientist - Analytical,PI Industries Ltd,"Udaipur, Rajasthan",NA,"Collaborate with team members and cross functional teams to ensure meeting research objectives.
The incumbent would provide support to the Process Research team…",14 days ago,NA
Sr. Associate / Research Scientist,Colgate-Palmolive,"Mumbai, Maharashtra",3.9,The position is to lead & execute Personal Care / Home Care product development programs for assigned brands/region by partnering with commercial & supply chain…,30+ days ago,NA
Research Scientist,Thales Group,"Gurgaon, Haryana",4.0,"Bachelor’s degree, but graduate degree preferred, in Computer Science, Engineering, Mathematics or other science field with a dissertation supported by data…",30+ days ago,NA
